"### practice items ###";;;;;;
"id";"cond";"type";"cue";"pic_num";"nl_name";"en_name"
81;"PRAC_COND";"PRACTICE";"NL";184;"heks";"witch"
82;"PRAC_COND";"PRACTICE";"NL";32;"kroon";"crown"
83;"PRAC_COND";"PRACTICE";"EN";241;"oog";"eye"
84;"PRAC_COND";"PRACTICE";"EN";351;"vlinder";"butterfly"
